GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54660,55253,55175,55038,55290,55347
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183193,186659,190396,195126,199713,203709
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27341,27226,27159,26973,26815,26489
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22861,22733,22642,22512,22549,22583
0500000US01009,01009,"Blount County, Alabama",57322,57322,57373,57711,57776,57734,57658,57673
0500000US01011,01011,"Bullock County, Alabama",10914,10915,10887,10629,10606,10628,10829,10696
0500000US01013,01013,"Butler County, Alabama",20947,20946,20944,20673,20408,20261,20276,20154
0500000US01015,01015,"Calhoun County, Alabama",118572,118586,118437,117768,117286,116575,115993,115620
0500000US01017,01017,"Chambers County, Alabama",34215,34170,34098,33993,34075,34153,34052,34123
0500000US01019,01019,"Cherokee County, Alabama",25989,25986,25976,26080,26023,26084,25995,25859
0500000US01021,01021,"Chilton County, Alabama",43643,43631,43665,43739,43697,43795,43921,43943
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13841,13593,13543,13378,13289,13170
0500000US01025,01025,"Clarke County, Alabama",25833,25840,25767,25570,25144,25116,24847,24675
0500000US01027,01027,"Clay County, Alabama",13932,13932,13880,13670,13456,13467,13538,13555
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,14973,14971,14921,15028,15072,15018
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50177,50448,51173,50755,50831,51211
0500000US01033,01033,"Colbert County, Alabama",54428,54428,54514,54443,54472,54471,54480,54354
0500000US01035,01035,"Conecuh County, Alabama",13228,13228,13208,13121,12996,12875,12662,12672
0500000US01037,01037,"Coosa County, Alabama",11539,11758,11758,11348,11195,11059,10807,10724
0500000US01039,01039,"Covington County, Alabama",37765,37765,37796,38060,37818,37830,37888,37835
0500000US01041,01041,"Crenshaw County, Alabama",13906,13906,13853,13896,13951,13932,13948,13963
0500000US01043,01043,"Cullman County, Alabama",80406,80410,80473,80469,80374,80756,81221,82005
0500000US01045,01045,"Dale County, Alabama",50251,50251,50358,50109,50324,49833,49501,49565
0500000US01047,01047,"Dallas County, Alabama",43820,43820,43803,43178,42777,42021,41662,41131
0500000US01049,01049,"DeKalb County, Alabama",71109,71115,71142,71387,70942,70869,71012,71130
0500000US01051,01051,"Elmore County, Alabama",79303,79296,79465,80012,80432,80883,81022,81468
0500000US01053,01053,"Escambia County, Alabama",38319,38319,38309,38213,38034,37857,37784,37789
0500000US01055,01055,"Etowah County, Alabama",104430,104427,104442,104236,104235,103852,103452,103057
0500000US01057,01057,"Fayette County, Alabama",17241,17241,17231,17062,16960,16857,16842,16759
0500000US01059,01059,"Franklin County, Alabama",31704,31709,31734,31729,31648,31507,31592,31696
0500000US01061,01061,"Geneva County, Alabama",26790,26790,26795,26832,27006,26752,26707,26777
0500000US01063,01063,"Greene County, Alabama",9045,9045,9001,8910,8835,8706,8553,8479
0500000US01065,01065,"Hale County, Alabama",15760,15760,15735,15364,15401,15316,15131,15068
0500000US01067,01067,"Henry County, Alabama",17302,17302,17292,17407,17249,17206,17176,17221
0500000US01069,01069,"Houston County, Alabama",101547,101547,101783,102422,103355,103610,104110,104173
0500000US01071,01071,"Jackson County, Alabama",53227,53226,53179,53264,53064,52921,52631,52419
0500000US01073,01073,"Jefferson County, Alabama",658466,658350,658116,657779,657704,658913,660368,660367
0500000US01075,01075,"Lamar County, Alabama",14564,14564,14495,14292,14252,14187,14050,13886
0500000US01077,01077,"Lauderdale County, Alabama",92709,92709,92747,92618,92680,92729,93063,92596
0500000US01079,01079,"Lawrence County, Alabama",34339,34339,34305,34045,33776,33567,33426,33115
0500000US01081,01081,"Lee County, Alabama",140247,140296,140782,144087,147899,151506,154426,156993
0500000US01083,01083,"Limestone County, Alabama",82782,82782,83163,85557,87321,88870,90612,91663
0500000US01085,01085,"Lowndes County, Alabama",11299,11299,11275,11119,10852,10725,10555,10458
0500000US01087,01087,"Macon County, Alabama",21452,21448,21545,21269,20479,19852,19387,19105
0500000US01089,01089,"Madison County, Alabama",334811,334811,336138,339574,342696,346720,350112,353089
0500000US01091,01091,"Marengo County, Alabama",21027,21029,20942,20708,20449,20210,20136,20028
0500000US01093,01093,"Marion County, Alabama",30776,30777,30800,30727,30515,30278,30246,30168
